,count
Tommy Haas,83
Jarkko Nieminen,79
Lleyton Hewitt,77
Andy Roddick,72
Fernando Gonzalez,67
Roger Federer,67
Tommy Robredo,66
Nikolay Davydenko,66
Mardy Fish,65
David Ferrer,64
Rafael Nadal,62
Robby Ginepri,62
Janko Tipsarevic,58
James Blake,55
Radek Stepanek,55
Dominik Hrbaty,54
Ivo Karlovic,54
Xavier Malisse,54
Feliciano Lopez,53
Jurgen Melzer,53
Richard Gasquet,53
Taylor Dent,53
Philipp Kohlschreiber,51
Gustavo Kuerten,50
Paradorn Srichaphan,50
Marcos Baghdatis,49
Fabio Fognini,49
Dmitry Tursunov,48
Juan Ignacio Chela,48
Novak Djokovic,48
Stanislas Wawrinka,47
Florian Mayer,47
Sebastien Grosjean,47
Denis Istomin,46
Nicolas Massu,46
Somdev Devvarman,46
Tomas Berdych,45
Carlos Moya,45
Nicolas Almagro,45
Sergiy Stakhovsky,45
Gilles Muller,45
John Isner,44
Younes El Aynaoui,44
Gilles Simon,44
Mikhail Youzhny,44
Fernando Verdasco,44
Danai Udomchoke,44
Paul Henri Mathieu,44
Juan Carlos Ferrero,44
Benjamin Balleret,43
Robin Haase,43
Filippo Volandri,43
David Nalbandian,42
Marin Cilic,42
Ivan Ljubicic,42
Santiago Giraldo,41
Aqeel Khan,41
Pablo Cuevas,41
Nicolas Lapentti,40
Frank Dancevic,40
Rainer Schuettler,40
Andrei Pavel,40
Victor Hanescu,40
Guillermo Canas,40
Andy Murray,40
Stefan Koubek,39
Vincent Spadea,39
Victor Estrella,39
Marat Safin,39
Andreas Seppi,39
Juan Martin Del Potro,39
Gael Monfils,39
Guillermo Coria,39
Aisam Ul Haq Qureshi,39
Olivier Rochus,38
Kenneth Carlsen,38
Rohan Bopanna,38
Lukasz Kubot,38
Mario Ancic,38
Mark Philippoussis,37
Harel Levy,37
Nicolas Kiefer,37
Kei Nishikori,36
Ernests Gulbis,36
Igor Andreev,36
Thomas Johansson,35
Jan Hernych,35
Juan Monaco,35
Frederik Nielsen,34
James Ward,34
Prakash Amritraj,34
Albert Montanes,34
Marco Chiudinelli,34
Bernard Tomic,34
Gaston Gaudio,34
Yen Hsun Lu,34
Cecil Mamiit,34
Joachim Johansson,33
Vladimir Voltchkov,33
Guillermo Garcia Lopez,33
Hyung Taik Lee,33
Benjamin Becker,33
Jo Wilfried Tsonga,33
Rik De Voest,32
Grigor Dimitrov,32
Christophe Rochus,32
Frederic Niemeyer,32
Viktor Troicki,32
Ramon Delgado,32
Jean Rene Lisnard,31
Robin Soderling,31
Andreas Vinciguerra,31
Tim Henman,31
Takao Suzuki,31
Go Soeda,30
Alejandro Falla,30
Donald Young,30
Mohammad Ghareeb,30
Nicolas Mahut,30
